run,slice,label,precision,recall,f1,support,average_precision
run3c_kd_only,full,Fart,0.803571,0.75,0.775862,180,0.865503
run3c_kd_only,full,Finger snapping,0.6,0.633333,0.616216,180,0.701345
run3c_kd_only,full,Fireworks,0.785311,0.772222,0.778711,180,0.839497
run3c_kd_only,full,Flute,0.763393,0.95,0.846535,180,0.932985
run3c_kd_only,full,Glockenspiel,0.517413,0.577778,0.545932,180,0.508686
run3c_kd_only,full,Gong,0.839806,0.961111,0.896373,180,0.972356
run3c_kd_only,full,"Gunshot, gunfire",0.599119,0.755556,0.668305,180,0.787369
run3c_kd_only,full,Harmonica,0.872928,0.877778,0.875346,180,0.924911
run3c_kd_only,full,Hi-hat,0.711538,0.205556,0.318966,180,0.500174
run3c_kd_only,full,Keys jangling,0.51497,0.477778,0.495677,180,0.575415
run3c_kd_only,full,Knock,0.535912,0.538889,0.537396,180,0.605544
run3c_kd_only,full,Laughter,0.475472,0.7,0.566292,180,0.725749
run3c_kd_only,full,Meow,0.685864,0.727778,0.706199,180,0.797973
run3c_kd_only,full,Microwave oven,0.485714,0.472222,0.478873,180,0.510926
run3c_kd_only,full,Saxophone,0.603865,0.694444,0.645995,180,0.751858
run3c_kd_only,full,Scissors,0.496296,0.372222,0.425397,180,0.466875
run3c_kd_only,full,Shatter,0.732026,0.622222,0.672673,180,0.742815
run3c_kd_only,full,Squeak,0.837209,0.4,0.541353,180,0.570902
run3c_kd_only,full,Tambourine,0.730594,0.888889,0.802005,180,0.913587
run3c_kd_only,full,Tearing,0.731092,0.483333,0.58194,180,0.637275
run3c_kd_only,full,Telephone,0.645714,0.627778,0.63662,180,0.690213
run3c_kd_only,full,Trumpet,0.690476,0.644444,0.666667,180,0.756904
run3c_kd_only,full,"Violin, fiddle",0.783439,0.683333,0.72997,180,0.78756
run3c_kd_only,full,Writing,0.422594,0.561111,0.4821,180,0.552213
run3c_kd_only,mid,Acoustic guitar,0.554217,0.766667,0.643357,60,0.808013
run3c_kd_only,mid,Applause,0.635135,0.783333,0.701493,60,0.739045
run3c_kd_only,mid,Bark,0.846154,0.916667,0.88,60,0.961974
run3c_kd_only,mid,"Burping, eructation",0.754098,0.766667,0.760331,60,0.894087
run3c_kd_only,mid,Bus,0.746479,0.883333,0.80916,60,0.86456
run3c_kd_only,mid,Chime,0.584906,0.516667,0.548673,60,0.626811
run3c_kd_only,mid,Clarinet,0.704545,0.516667,0.596154,60,0.70095
run3c_kd_only,mid,Computer keyboard,0.616667,0.616667,0.616667,60,0.717707
run3c_kd_only,mid,Cough,0.721311,0.733333,0.727273,60,0.769897
run3c_kd_only,mid,Cowbell,0.705882,0.8,0.75,60,0.806984
run3c_kd_only,mid,Drawer open or close,0.461538,0.4,0.428571,60,0.45802
run3c_kd_only,mid,Electric piano,0.753623,0.866667,0.806202,60,0.910192
run3c_kd_only,mid,Fart,0.823529,0.7,0.756757,60,0.873248
run3c_kd_only,mid,Finger snapping,0.6,0.65,0.624,60,0.695907
run3c_kd_only,mid,Fireworks,0.884615,0.766667,0.821429,60,0.909049
run3c_kd_only,mid,Flute,0.7375,0.983333,0.842857,60,0.929622
run3c_kd_only,mid,Glockenspiel,0.530303,0.583333,0.555556,60,0.514225
run3c_kd_only,mid,Gong,0.893939,0.983333,0.936508,60,0.990912
run3c_kd_only,mid,"Gunshot, gunfire",0.666667,0.8,0.727273,60,0.817027
run3c_kd_only,mid,Harmonica,0.898305,0.883333,0.890756,60,0.932831
run3c_kd_only,mid,Hi-hat,0.625,0.166667,0.263158,60,0.427465
run3c_kd_only,mid,Keys jangling,0.540984,0.55,0.545455,60,0.65732
run3c_kd_only,mid,Knock,0.563636,0.516667,0.53913,60,0.601728
run3c_kd_only,mid,Laughter,0.54023,0.783333,0.639456,60,0.78151
run3c_kd_only,mid,Meow,0.701493,0.783333,0.740157,60,0.83653
run3c_kd_only,mid,Microwave oven,0.482143,0.45,0.465517,60,0.485672
run3c_kd_only,mid,Saxophone,0.59375,0.633333,0.612903,60,0.74383
run3c_kd_only,mid,Scissors,0.589744,0.383333,0.464646,60,0.555618
run3c_kd_only,mid,Shatter,0.741379,0.716667,0.728814,60,0.80033
run3c_kd_only,mid,Squeak,0.84,0.35,0.494118,60,0.560561
run3c_kd_only,mid,Tambourine,0.776119,0.866667,0.818898,60,0.902028
run3c_kd_only,mid,Tearing,0.613636,0.45,0.519231,60,0.592334
run3c_kd_only,mid,Telephone,0.647059,0.733333,0.6875,60,0.796844
run3c_kd_only,mid,Trumpet,0.745763,0.733333,0.739496,60,0.822077
run3c_kd_only,mid,"Violin, fiddle",0.843137,0.716667,0.774775,60,0.810698
run3c_kd_only,mid,Writing,0.450704,0.533333,0.48855,60,0.575597
